Date,Total Sunspot,Max Size,Zurich Class,Penumbra Class,Compactness Class,NS,Lat,EW,Lan,X-ray class,X-ray intensity
1982-01-27,42.0,590.0,E,H,I,S,13,E,63,M,1.2
1982-01-27,45.0,120.0,D,A,I,S,14,E,20,C,2.9
1982-01-27,17.0,40.0,C,R,O,S,10,E,45,C,2.3
1982-01-27,7.0,190.0,E,A,O,N,13,E,80,0,0.0
1982-02-01,63.0,800.0,F,K,I,N,12,W,11,0,0.0
1982-02-01,9.0,10.0,B,X,O,N,11,W,23,0,0.0
1982-02-01,71.0,1360.0,F,K,C,S,12,W,5,X,2.6
1982-02-01,14.0,630.0,E,H,O,S,12,W,44,0,0.0
1982-02-01,13.0,100.0,H,A,X,S,8,W,26,0,0.0
1982-02-01,12.0,200.0,D,H,I,N,9,E,6,C,4.4
1982-02-01,9.0,120.0,D,S,I,N,13,W,42,C,5.7
1982-02-01,10.0,140.0,D,A,O,N,14,E,17,0,0.0
1982-02-01,11.0,110.0,D,S,O,S,16,E,27,C,7.7
1982-02-01,9.0,30.0,C,S,O,S,13,E,34,0,0.0
1982-02-01,1.0,0.0,A,X,X,N,17,E,22,0,0.0
1982-02-01,5.0,20.0,C,R,O,S,18,E,47,0,0.0
1982-02-01,1.0,50.0,H,S,X,S,17,E,49,0,0.0
1982-02-01,4.0,20.0,C,R,O,S,7,E,65,C,5.0
1982-02-01,6.0,10.0,B,X,O,S,13,E,9,0,0.0
1982-02-01,12.0,10.0,B,X,O,S,11,E,22,0,0.0
1982-02-02,52.0,590.0,F,K,I,N,10,W,24,0,0.0
1982-02-02,3.0,10.0,C,R,O,N,10,W,32,0,0.0
1982-02-02,84.0,1330.0,F,K,C,S,13,W,17,M,2.2
1982-02-02,19.0,800.0,E,H,O,S,14,W,57,M,3.8
1982-02-02,22.0,80.0,D,A,I,S,10,W,38,0,0.0
1982-02-02,13.0,230.0,D,S,O,N,9,W,7,C,7.5
1982-02-02,16.0,180.0,D,A,O,N,12,W,63,0,0.0
1982-02-02,8.0,290.0,D,A,O,N,12,W,14,0,0.0
1982-02-02,15.0,120.0,D,A,O,N,15,E,4,0,0.0
1982-02-02,50.0,150.0,E,A,I,S,18,E,16,M,1.3
1982-02-02,9.0,60.0,D,A,O,S,14,E,30,0,0.0
1982-02-02,2.0,10.0,B,X,O,N,18,E,12,0,0.0
1982-02-02,3.0,20.0,H,A,X,S,19,E,44,0,0.0
1982-02-02,1.0,30.0,H,S,X,S,15,E,48,0,0.0
1982-02-02,6.0,40.0,C,S,O,S,6,E,59,0,0.0
1982-02-02,7.0,10.0,C,S,O,N,17,E,22,0,0.0
1982-02-03,36.0,470.0,E,K,O,N,12,W,38,C,9.7
1982-02-03,1.0,0.0,A,X,X,N,8,W,39,0,0.0
1982-02-03,77.0,1560.0,F,K,C,S,13,W,31,X,1.1
1982-02-03,14.0,470.0,D,H,O,S,14,W,61,0,0.0
1982-02-03,9.0,20.0,B,X,O,S,11,W,43,0,0.0
1982-02-03,20.0,180.0,H,A,I,N,9,W,13,0,0.0
1982-02-03,9.0,60.0,D,S,O,N,12,W,79,0,0.0
1982-02-03,19.0,260.0,D,S,I,N,11,W,26,0,0.0
1982-02-03,28.0,140.0,D,S,O,N,17,W,9,0,0.0
1982-02-03,40.0,150.0,E,A,I,S,18,E,2,M,3.0
1982-02-03,13.0,40.0,C,R,O,S,13,E,6,0,0.0
1982-02-03,4.0,30.0,D,S,O,S,19,E,21,0,0.0
1982-02-03,3.0,30.0,H,S,X,S,15,E,34,0,0.0
1982-02-03,22.0,80.0,D,R,I,S,6,E,35,M,1.8
1982-02-03,17.0,90.0,D,S,O,N,16,E,7,0,0.0
1982-02-03,1.0,0.0,A,X,X,S,17,E,74,0,0.0
1982-02-03,4.0,660.0,E,H,O,S,9,E,84,M,5.5
1982-02-03,1.0,0.0,A,X,X,N,21,E,56,0,0.0
1982-02-04,35.0,450.0,E,K,O,N,10,W,41,0,0.0
1982-02-04,74.0,1430.0,F,K,I,S,14,W,35,M,2.2
1982-02-04,4.0,490.0,H,H,O,S,15,W,75,C,6.4
1982-02-04,10.0,20.0,B,X,O,S,11,W,53,0,0.0
1982-02-04,10.0,140.0,H,S,O,N,8,W,30,0,0.0
1982-02-04,10.0,70.0,D,S,O,N,16,W,23,0,0.0
1982-02-04,72.0,150.0,E,A,I,S,18,W,2,M,1.3
1982-02-04,20.0,40.0,D,A,O,S,12,W,7,C,4.6
1982-02-04,18.0,40.0,C,S,O,S,19,E,17,0,0.0
1982-02-04,4.0,20.0,H,S,X,S,15,E,22,0,0.0
1982-02-04,35.0,70.0,E,A,I,S,5,E,22,0,0.0
1982-02-04,13.0,90.0,H,A,I,N,16,E,2,0,0.0
1982-02-04,1.0,0.0,A,X,X,S,16,E,61,0,0.0
1982-02-04,58.0,1620.0,F,K,I,S,10,E,72,M,1.3
1982-02-04,4.0,10.0,B,X,O,S,6,W,14,0,0.0
